"Indicator","PUBLISH STATES","Year","WHO region","Country","Display Value","Numeric","Low","High","Comments"
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Equatorial Guinea","53 000 [44 000-68 000]","53000.00000","44000.00000","68000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Eritrea","62 [45-83]","62.00000","45.00000","83.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","France","200 000 [170 000-240 000]","200000.00000","170000.00000","240000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Gabon","59 [52-67]","59.00000","52.00000","67.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Ghana","126 000","126000.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Ghana","310 000 [260 000-370 000]","310000.00000","260000.00000","370000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Guyana","5200","5200.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Guyana","8200 [7600-9200]","8200.00000","7600.00000","9200.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","South-East Asia","Indonesia","91 400","91400.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","South-East Asia","Indonesia","630 000 [540 000-740 000]","630000.00000","540000.00000","740000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Italy","88 [75->95]","88.00000","75.00000","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Italy","117 000","117000.00000","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Jamaica","11 700","11700.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Western Pacific","Kiribati","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Western Pacific","Kiribati","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Lesotho","74 [68-78]","74.00000","68.00000","78.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Lesotho","233 000","233000.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Madagascar","7 [5-8]","7.00000","5.00000","8.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Malawi","71 [66-77]","71.00000","66.00000","77.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Malta","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Western Pacific","Marshall Islands","33 [24-48]","33.00000","24.00000","48.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Monaco","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Western Pacific","Mongolia","28 [23-33]","28.00000","23.00000","33.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","South-East Asia","Myanmar","220 000 [200 000-260 000]","220000.00000","200000.00000","260000.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Namibia","200 000 [180 000-210 000]","200000.00000","180000.00000","210000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Nicaragua","4300","4300.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Nicaragua","9000 [7000-12 000]","9000.00000","7000.00000","12000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Eastern Mediterranean","Pakistan","12 000","12000.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Eastern Mediterranean","Pakistan","150 000 [130 000-170 000]","150000.00000","130000.00000","170000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Peru","48 400","48400.00000","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Western Pacific","Philippines","24 800","24800.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Republic of Moldova","34 [24-47]","34.00000","24.00000","47.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Republic of Moldova","5200","5200.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Saint Vincent and the Grenadines","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Saint Vincent and the Grenadines","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Senegal","54 [45-64]","54.00000","45.00000","64.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Serbia","64 [47-80]","64.00000","47.00000","80.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Slovakia","870 [650-1400]","870.00000","650.00000","1400.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Slovenia","70 [51-94]","70.00000","51.00000","94.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Spain","150 000 [140 000-170 000]","150000.00000","140000.00000","170000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","South-East Asia","Sri Lanka","37 [32-44]","37.00000","32.00000","44.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Sweden","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Switzerland","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","South-East Asia","Timor-Leste","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","South-East Asia","Timor-Leste","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Turkmenistan","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Turkmenistan","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","United Kingdom of Great Britain and Northern Ireland","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","United Republic of Tanzania","965 000","965000.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Venezuela (Bolivarian Republic of)","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Venezuela (Bolivarian Republic of)","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Albania","570","570.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Algeria","80 [75-87]","80.00000","75.00000","87.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Austria","7400 [6600-8200]","7400.00000","6600.00000","8200.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Azerbaijan","3700","3700.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Eastern Mediterranean","Bahrain","45 [37-51]","45.00000","37.00000","51.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Eastern Mediterranean","Bahrain","<500 [<500-<500]","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Bolivia (Plurinational State of)","7600","7600.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Bosnia and Herzegovina","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Bosnia and Herzegovina","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Brazil","553 000","553000.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Western Pacific","Brunei Darussalam","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Canada","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Central African Republic","36 700","36700.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Chile","67 000 [58 000-76 000]","67000.00000","58000.00000","76000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Western Pacific","China","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Cuba","66 [58-75]","66.00000","58.00000","75.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Cuba","30 000 [26 000-33 000]","30000.00000","26000.00000","33000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","South-East Asia","Democratic People's Republic of Korea","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","South-East Asia","Democratic People's Republic of Korea","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","El Salvador","11 800","11800.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Equatorial Guinea","38 [32-49]","38.00000","32.00000","49.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Eritrea","14 000 [10 000-19 000]","14000.00000","10000.00000","19000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Estonia","4100","4100.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Germany","74 [66-84]","74.00000","66.00000","84.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Germany","91 000 [80 000-100 000]","91000.00000","80000.00000","100000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Grenada","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Grenada","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Iceland","230","230.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","South-East Asia","India","56 [40-79]","56.00000","40.00000","79.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Eastern Mediterranean","Iran (Islamic Republic of)","11 000","11000.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Eastern Mediterranean","Iraq","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Kazakhstan","27 000 [18 000-28 000]","27000.00000","18000.00000","28000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Kenya","1 122 000","1122000.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Eastern Mediterranean","Kuwait","64 [56-75]","64.00000","56.00000","75.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Eastern Mediterranean","Kuwait","540 [<500-640]","540.00000","","640.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Lithuania","790","790.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Luxembourg","78 [68-87]","78.00000","68.00000","87.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Luxembourg","1100 [940-1200]","1100.00000","940.00000","1200.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Malawi","739 000","739000.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Western Pacific","Malaysia","45 [39-51]","45.00000","39.00000","51.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Mexico","230 000 [210 000-260 000]","230000.00000","210000.00000","260000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Western Pacific","Micronesia (Federated States of)","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Western Pacific","Mongolia","650 [540-750]","650.00000","540.00000","750.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Montenegro","140","140.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Western Pacific","New Zealand","78 [3->95]","78.00000","3.00000","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Western Pacific","New Zealand","3700 [<200-13 000]","3700.00000","","13000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Nigeria","33 [22-47]","33.00000","22.00000","47.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Nigeria","3 100 000 [2 100 000-4 400 000]","3100000.00000","2100000.00000","4400000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Paraguay","7800","7800.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Peru","67 [54-93]","67.00000","54.00000","93.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Western Pacific","Philippines","68 000 [61 000-76 000]","68000.00000","61000.00000","76000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Poland","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Saint Kitts and Nevis","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Saint Kitts and Nevis","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Western Pacific","Samoa","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Western Pacific","Samoa","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Western Pacific","Singapore","5900","5900.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Slovakia","75 [57->95]","75.00000","57.00000","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Western Pacific","Solomon Islands","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Eastern Mediterranean","Somalia","28 [26-30]","28.00000","26.00000","30.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Eswatini","210 000 [190 000-220 000]","210000.00000","190000.00000","220000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Sweden","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Eastern Mediterranean","Syrian Arab Republic","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Eastern Mediterranean","Syrian Arab Republic","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Eastern Mediterranean","Tunisia","920","920.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Turkey","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Turkey","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Western Pacific","Tuvalu","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Uganda","72 [68-77]","72.00000","68.00000","77.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Uzbekistan","52 000 [42 000-62 000]","52000.00000","42000.00000","62000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Western Pacific","Vanuatu","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Western Pacific","Viet Nam","250 000 [220 000-280 000]","250000.00000","220000.00000","280000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Eastern Mediterranean","Yemen","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Algeria","11 000","11000.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Andorra","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Western Pacific","Australia","82 [73-93]","82.00000","73.00000","93.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Western Pacific","Australia","26 000 [23 000-29 000]","26000.00000","23000.00000","29000.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","South-East Asia","Bangladesh","13 000 [11 000-15 000]","13000.00000","11000.00000","15000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Barbados","1300","1300.00000","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","South-East Asia","Bhutan","390","390.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Bolivia (Plurinational State of)","36 [24-55]","36.00000","24.00000","55.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Bulgaria","43 [41-48]","43.00000","41.00000","48.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Bulgaria","2800 [2600-3000]","2800.00000","2600.00000","3000.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Cameroon","510 000 [430 000-600 000]","510000.00000","430000.00000","600000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Canada","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Western Pacific","China","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Colombia","80 500","80500.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Comoros","27 [21-43]","27.00000","21.00000","43.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Côte d'Ivoire","226 000","226000.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Croatia","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Democratic Republic of the Congo","55 [43-66]","55.00000","43.00000","66.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Democratic Republic of the Congo","390 000 [310 000-470 000]","390000.00000","310000.00000","470000.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Ecuador","36 000 [25 000-65 000]","36000.00000","25000.00000","65000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Eastern Mediterranean","Egypt","3900","3900.00000","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Ethiopia","437 000","437000.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Western Pacific","Fiji","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Georgia","39 [31-53]","39.00000","31.00000","53.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Georgia","11 000 [8200-14 000]","11000.00000","8200.00000","14000.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Guatemala","46 000 [40 000-52 000]","46000.00000","40000.00000","52000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Guinea","41 500","41500.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Honduras","22 000 [17 000-27 000]","22000.00000","17000.00000","27000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Hungary","1800","1800.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Iceland","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Eastern Mediterranean","Iraq","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Ireland","73 [65-81]","73.00000","65.00000","81.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Eastern Mediterranean","Jordan","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Eastern Mediterranean","Jordan","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Kyrgyzstan","7600 [5500-10 000]","7600.00000","5500.00000","10000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Western Pacific","Lao People's Democratic Republic","5600","5600.00000","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Eastern Mediterranean","Libya","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Lithuania","29 [26-31]","29.00000","26.00000","31.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","South-East Asia","Maldives","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","South-East Asia","Maldives","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Mauritius","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Mexico","145 000","145000.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Montenegro","<500 [<500-<500]","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Eastern Mediterranean","Morocco","11 600","11600.00000","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","South-East Asia","Nepal","15 300","15300.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Netherlands","80 [73-86]","80.00000","73.00000","86.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Western Pacific","Niue","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Western Pacific","Niue","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Panama","25 000 [23 000-27 000]","25000.00000","23000.00000","27000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Western Pacific","Papua New Guinea","26 400","26400.00000","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Portugal","35 800","35800.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Eastern Mediterranean","Qatar","54 [52-58]","54.00000","52.00000","58.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Rwanda","83 [72-93]","83.00000","72.00000","93.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Rwanda","220 000 [200 000-250 000]","220000.00000","200000.00000","250000.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","San Marino","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Sao Tome and Principe","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Seychelles","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Sierra Leone","23 700","23700.00000","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Eastern Mediterranean","Somalia","3000","3000.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","South Africa","61 [56-66]","61.00000","56.00000","66.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Suriname","51 [45-67]","51.00000","45.00000","67.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Suriname","4800 [4300-6300]","4800.00000","4300.00000","6300.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Tajikistan","15 000 [11 000-21 000]","15000.00000","11000.00000","21000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","South-East Asia","Thailand","317 000","317000.00000","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Trinidad and Tobago","6700","6700.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Eastern Mediterranean","Tunisia","31 [24-43]","31.00000","24.00000","43.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Ukraine","40 [38-43]","40.00000","38.00000","43.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Ukraine","240 000 [230 000-260 000]","240000.00000","230000.00000","260000.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Uruguay","13 000 [11 000-15 000]","13000.00000","11000.00000","15000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Uzbekistan","14 800","14800.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Eastern Mediterranean","Yemen","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Zambia","850 000","850000.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Algeria","14 000 [13 000-15 000]","14000.00000","13000.00000","15000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Andorra","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Western Pacific","Australia","21 500","21500.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Austria","86 [76->95]","86.00000","76.00000","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","South-East Asia","Bangladesh","2500","2500.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Barbados","49 [43-55]","49.00000","43.00000","55.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Barbados","2700 [2400-3000]","2700.00000","2400.00000","3000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","South-East Asia","Bhutan","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","South-East Asia","Bhutan","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Western Pacific","Brunei Darussalam","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Bulgaria","1200","1200.00000","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Cameroon","254 000","254000.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Canada","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Colombia","54 [44-64]","54.00000","44.00000","64.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Colombia","150 000 [120 000-180 000]","150000.00000","120000.00000","180000.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Côte d'Ivoire","500 000 [350 000-690 000]","500000.00000","350000.00000","690000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Croatia","920","920.00000","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Democratic Republic of the Congo","214 000","214000.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Denmark","86 [79-93]","86.00000","79.00000","93.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Ecuador","19 500","19500.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Eastern Mediterranean","Egypt","24 [21-27]","24.00000","21.00000","27.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Eastern Mediterranean","Egypt","16 000 [15 000-18 000]","16000.00000","15000.00000","18000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Ethiopia","71 [55-91]","71.00000","55.00000","91.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Ethiopia","610 000 [470 000-780 000]","610000.00000","470000.00000","780000.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Gambia","21 000 [17 000-25 000]","21000.00000","17000.00000","25000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Georgia","4100","4100.00000","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Guatemala","17 900","17900.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Guinea","35 [29-43]","35.00000","29.00000","43.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Hungary","62 [54-71]","62.00000","54.00000","71.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Hungary","2800 [2400-3200]","2800.00000","2400.00000","3200.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Eastern Mediterranean","Iraq","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Ireland","5200","5200.00000","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Eastern Mediterranean","Jordan","190","190.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Kazakhstan","43 [30-46]","43.00000","30.00000","46.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Kyrgyzstan","3000","3000.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Western Pacific","Lao People's Democratic Republic","47 [42-55]","47.00000","42.00000","55.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Western Pacific","Lao People's Democratic Republic","12 000 [10 000-14 000]","12000.00000","10000.00000","14000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Eastern Mediterranean","Libya","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Eastern Mediterranean","Libya","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Western Pacific","Malaysia","87 000 [76 000-99 000]","87000.00000","76000.00000","99000.00000",""
